谷歌地图纬度  谷歌地图经度    城市
 52.9399159    -106.4508639   Canada-SK(Saskatchewan)
 28.394857     84.124008      Nepal
 34.3852029    132.4552927    Hiroshima
 -16.3988222   -71.5368861    Arequipa
 43.653226     -79.3831843    Toronto
 29.7601927    -95.3693896    Houston
 37.9161924    139.0364126    Niigata
 20.97         -89.62         Merida
 34.2305113    135.1708083    Wakayama
 -5.2          -80.6333333    Piura
 34.0702703    134.5548438    Tokushima
 -12.0478158   -77.0622028    Lima
 20.747902     106.1047393    Che
 41.87194      12.56738       Italy
 34.7302829    136.5085883    Mie
 21.913965     95.956223      Myanmar
 39.3209801    -111.0937311   Utah
 30.658601     104.064856     Chengdu
 51.1666667    71.4333333     Astana
 33.5818394    48.3988186     Lorestan
 38.9351125    -74.9060053    Cape May
 55.152009     61.40857       Chelyabinsk
 38.8951118    -77.0363658    Washington
 37.4315734    -78.6568942    Virginia
 26.5404213    54.0053666     Khorasan
 34.690083     135.1955112    Kobe
 20.9042201    74.7748979     Dhule
 40.0583238    -74.4056612    New Jersey
 47.6853247    41.8258952     Rostov oblast
 44.016521     21.005859      Serbia
 36.204824     138.252924     Japan
 18.3172954    103.3060345    Mum
 53.04179      -1.796984      Blore
 60.0793208    31.8926644     St.Petersburg oblast
 55.749646     37.62368       Moscowv
 -6.211544     106.845172     Jakarta
 55.449322     65.314686      Kurgan
 54.99118      73.370253      Omsk
 56.29274      43.926745      Nizhni Novgorod
 -15.826691    -47.9218204    Distrito Federal
 51.534272     46.01014       Saratov
 31.920673     120.284946     Jiangyin
 39.167346     117.151534     Tianjinhongqiao
 -31.9530044   115.8574693    Perth
 -17.930178    -43.7908453    Minas Gerais
 19.4326077    -99.133208     Mexico city
 57.163286     65.538567      Tumen
 36.6485496    138.1942432    Nagano
 -26.6666104   113.7332314    Ytml
 -27.4709331   153.0235024    Brisbane
 19.838949     75.887177      Jalna
 -25.274398    133.775136     Australia
 29.306841     120.075058     Zhejiang-Yiwu
 55.018804     82.933949      Nsk
 34.341568     108.940175     Xian
 45.672075     -118.7885967   Pendleton
 42.3091892    -87.8500708    Great Lakes
 45.439695     4.3871779      StEtienne
 16.990215     73.3120233     Rtng(India Ratnagiri)
 20.593684     78.96288       India
 40.817498     111.765618     Inner Mongolia
 29.31166      47.481766      Kuwait
 -21.115141    55.536384      Reunion
 32.3523691    -84.9688191    Ft.Benning
 26.0667       50.5577        Bahrain
 7.946527      -1.023194      Ghana
 66.5333333    66.6           Salehard
 13.444304     144.793731     Guam
 4.210484      101.975766     Malaysia
 28.635308     77.22496       Delhi
 4.5980556     -74.0758333    Bogota
 39.5500507    -105.7820674   Colorado
 43.0646147    141.3468074    Hokkaido
 41.8781136    -87.6297982    Chicago
 50.6705385    14.5396822     Kol
 33.93911      67.709953      Afghanistan
 18.5          -69.9833333    Santo Domingo
 41.835441     123.42944      Liaoning
 16.463461     107.584702     Hue
 -0.2166667    -78.5166667    Quito
 38.7374943    -104.7888615   Ft Carson
 60.472024     8.468946       Norway
 39.0457549    -76.6412712    Maryland
 50.569269     36.589625      Belgorod
 51.2192159    4.4028818      Antwerp
 37.9333333    58.3666667     Ashgabat
 32.060255     118.796877     Nanjing
 54.535573     36.248694      Kaluga
 30.545861     114.341921     Hubei
 52.0337       113.499661     Chita
 35.907757     127.766922     Korea
 22.396428     114.109497     Hong Kong
 35.886826     115.104656     Qingfeng
 28.46763      119.922796     Lishui
 13.706881     -89.20181      San Salvador
 48.2388147    96.0703019     Zavkhan
 52.60148      39.584089      Lipetsk
 53.232251     34.360264      Bryansk
 43.817084     125.323542     Changchun
 34.660314     112.427843     Xigong
 61.52401      105.318756     Russia
 50.291167     127.527094     Blagovechensk
 32.7153292    -117.1572551   San Diego
 35.778096     115.074474     Hualong
 18.539269     -72.336408     Port Au Prince
 56.29274      43.926745      Nizhny Novgorod
 34.748256     113.6131       Zhongyuan
 34.15394      112.473139     Ruyang
 39.117106     117.214708     Tianjinheping
 62.022957     129.717095     Yakutsk
 45.045023     41.996087      Stavropol
 34.035506     113.85264      Xuchang
 34.800287     113.660563     Jinshui
 50.8503396    4.3517103      Brussels
 33.868441     113.054754     Baofeng
 34.025342     113.822647     Weidu
 59.9138688    10.7522454     Oslo
 39.02772      117.64096      Tianjintanggu
 54.3520252    18.6466384     Gdansk
 48.745193     2.401373       Orel
 39.928353     116.416357     Dongcheng
 28.25587      112.986209     Hunan Kaifu
 35.4606       128.2132       Gyeongnam
 54.307799     48.338941      Ulyanovsk
 6.441158      3.417977       Lagos
 28.228209     112.938814     Hunan Changsha
 38.984652     -77.0947092    Bethesda
 45.764043     4.835659       Lyon
 29.079059     119.647445     Jinhua
 57.006172     40.982105      Ivanovo
 64.538518     40.514856      Arkhangelsk
 60.169845     24.9385508     Helsinki
 28.185386     113.032539     Hunan Furong
 33.734726     113.335118     Weidong
 47.921378     106.90554      Unmugobi(Mongolia Umnugobi)：找不见Umnugobi地，蒙古乌兰巴托的经纬度
 55.642522     12.475386      Hvidovre
 38.2554388    140.3396017    Yamagata
 34.167405     112.844649     Ruzhou
 58.001985     56.257287      Perm
 53.6126505    12.4295953     Germany-MV(Mecklenburg-Vorpommern)
 42.9          71.3666667     Taraz
 52.726659     41.386226      Tambov
 45.5822786    106.7644209    Dundgobi
 9.022736      38.746799      Addis Ababa
 42.870022     74.587883      Bishkek
 25.091075     121.5598345    Taipei
 64.727191     177.502146     IIV-Anadyr(Russia楚科奇自治区的Anadyr)：IIV没找见具体对应哪儿，是Anadyr的经纬度
 57.633568     39.879512      Yaroslavl
 39.330613     117.824898     Tianjinninghe
 57.028811     9.917771       Aalborg
 52.9399159    -73.5491361    Quebec
 11.825138     42.590275      Djibouti
 30.421309     -87.2169149    Pensacola
 46.333818     48.021857      Astrakhan
 32.455778     119.923116     Taizhou
 51.1078852    17.0385376     Wroclaw
 55.6760968    12.5683371     Copenhagen
 51.4818445    7.2162363      Bochum
 48.3983254    89.6625915     Ulgii
 48.3983254    89.6625915     Bayanulgii
 59.568324     150.808918     Magadan
 36.3504119    127.3845475    Daejeon
 44.8205556    20.4622222     Belgrade
 36.3906675    139.0604061    Gunma
 35.8714354    128.601445     Daegu
 38.268215     140.8693558    Sendai
 53.33324      83.667235      Barnaul
 12.63923	  -8.0028892000   Bamako
 34.178496     131.4737269    Yamaguchi
 29.985451     122.206604     Zhoushan
 28.68316      115.858089     Nanchang
 32.427908     53.688046      Iran
 41.563211     2.0088747      Terrassa
 55.403756     10.40237       Odense
 41.3850639    2.1734035      Barcelona
 14.058324     108.277199     Viet Nam
 45.5086699    -73.5539925    Montreal
 26.820553     30.802498      Egypt
 37.566535     126.9779692    Seoul
 39.138203     117.150738     Tianjinnankai
 29.859772     121.551066     Haishu
 53.726564     78.044036      Karasuk
 48.2081743    16.3738189     Vienna
 23.353299     116.681838     Shantou
 34.765527     113.753658     Henan
 43.6158299    13.518915      Ancona
 50.1109221    8.6821267      Frankfurt
 47.162494     19.503304      Hungary
 27.693056     -97.291389     Ngp
 36.565725     139.8835651    Tochigi
 31.861184     117.284923     Anhui
 -38.416097    -63.616672     Argentina
 49.7915953    9.9535715      Wurzburg
 29.6166667    52.5333333     Shiraz
 56.4906712    -4.2026458     Scotland
 52.519171     13.4060912     Berlin
 34.0522342    -118.2436849   Los Angeles
 31.9685988    -99.9018131    Texas
 68.875485     -166.112173    Lur
 52.132633     5.291266       Netherlands
 14.6927778    -17.4466667    Dakar
 -8.014305     142.750997     Awb
 36.067082     120.38264      Qingdao
 40.7143528    -74.0059731    New York
 -22.9035393   -43.2095869    Rio de Janeiro
 21.332898     -157.921418    Hnl
 40.735657     -74.1723667    Newark
 18.5204303    73.8567437     Pune
 42.3736158    -71.1097335    Cambridge
 12.1363889    -86.2513889    Managua
 32.7502856    129.877667     Nagasaki
 -8.3229488    -43.1747162    Piaui
 -9.5713058    -36.7819505    Alagoas
 -11.4098737   -41.2808577    Bahia
 0.2261997     73.2735875     Vadu
 37.8393332    -84.2700179    Kentucky
 -8.8137173    -36.954107     Pernambuco
 -25.2520888   -52.0215415   Parana
 19.153061     77.305847     Nanded
 26.2006043    92.9375739    Assam
 12.565679     104.990963    Cambodia
 -35.675147    -71.542969    Chile
 -37.814107    144.96328     Melbourne
 -37.783749    144.983536    North Fitzroy
 15.9717357    102.6216211   Khon Kaen
 -16.9063591   145.7594332   Cairns North
 27.1833333    56.2666667    Bandar Abbas
 13.7522222    100.4938889   Bangkok
 46.818188     8.227512      Switzerland
 21.543489     39.172989     Jeddah
 7.873054      80.771797     Sri Lanka
 6.9270786     79.861243     Colombo
 30.894348     120.086823    HuZhou
 43.136517     131.911079    Vladivistok
 35.6597222    51.0591667    Shahriar
 37.4138       127.5183      Gyeonggi
 37.8228       128.1555      Gangwon
 54.7877149    -6.4923145    Northern Ireland
 26.074508     119.296494    Fuzhou
 52.3555177    -1.1743197    England
 31.9565783    35.9456951    Amman
 35.6961111    51.4230556    Tehran
 35.82711      50.98037      Karaj
 34.64         50.8763889    Ghom
 27.7730556    -82.64        St. Petersburg
 10.2469444    -67.5961111   Maracay
 40.6013428    33.6134213    Cankiri
 40.3166667    36.55         Tokat
 41.292782     36.33128      Samsun
 41.00145      39.7177999    Trabzon
 39.92077      32.85411      Ankara
 6.0705817     80.2251603    Karapitiya
 33.886917     9.537499      Tunisia
 39.129499     117.251041    Tianjinhedong
 32.061707     118.763232    Jiangsu
 47.921378     106.90554     Ulaanbaatar
 53.5510846    9.9936818     Hamburg
 34.8679       126.991       Jeonnam
 61.92411      25.748151     Finland
 39.90403      116.407526    Beijing
 12.879721     121.774017    Philippines
 53.250585     45.016555     Penza
 31.230393     121.473704    Shanghai
 50.0755381    14.4378005    Prague
 53.381129     -1.470085     Sheffield
 15.870032     100.992541    Thailand
 51.7601165    -1.211042     Headington
 56.863809     53.2281       Izhevsk
 30.267447     120.152792    Zhejiang
 37.9642529    -91.8318334   Missouri
 68.976167     33.094409     Murmansk
 40.6331249    -89.3985283   Illinois
 54.711609     20.46453      Kaliningrad
 32.1574351    -82.907123    Georgia
 47.497912     19.040235     Budapest
 55.811294     37.577545     Moscow oblast
 36.778261     -119.4179324  California
 38.8951118    -77.0363658   District of Columbia
 38.937404     117.357849    Tianjinjinnan
 56.137661     40.41348      Vladimir
 37.8666667    32.4833333    Konya
 36.88414      30.70563      Antalya
 38.41885      27.12872      Izmir
 41.38871      33.78273      Kastamonu
 40.9833333    27.5166667    Tekirdag
 64.538518     40.514856     Archangelsk
 41.537626     2.445877      Matara
 56.29274      43.926745     Nizhnii Novgorod
 59.4369608    24.7535746    Tallinn
 6.693124      80.386436     Rathnapura
 54.809866     56.093911     Ufa
 56.162939     10.203921     Aarhus
 48.711923     44.491084     Volgograd
 56.859633     35.88947      Tver
 51.771087     55.098056     Orenburg
 50.73743      7.0982068     Bonn
 51.656        39.187558     Voronezh
 30.274089     120.155069    Hangzhou
 54.184814     37.627447     Tula
 52.2296756    21.0122287    Warsaw
 37.2089572    -93.2922989   Springfield
 48.1366069    11.5770851    Munich
 40.4167754    -3.7037902    Madrid
 51.0642666    5.0881938     Tessenderlo
 56.104219     47.259418     Cheboksary
 56.635033     47.89974      Joshkar-Ola
 50.937531     6.9602786     Cologne
 37.9837155    23.7293097    Athens
 35.86166      104.195397    China
 22.3185673    114.1796057   Kowloon
 59.90802      30.409998     Saint-Petersburg
 55.018804     82.933949     Novosibirsk
 27.7730556    -82.64        St.Petersburg
 40.65         -73.95        Brooklyn
 35.5011326    134.2350914   Tottori
 1.352083      103.819836    Singapore
 22.543099     114.057868    Shenzhen
 23.132191     113.266531    Guangdong
 -14.235004    -51.92528     Brazil
 -29.534505    -53.3906074   Rio Grande do Sul
 -33.8806799   151.2186198   Darlinghurst
 -33.8076889   150.9872768   Westmead
 -0.023559     37.906193     Kenya
 -33.8674869   151.2069902   Sydney
 19.8967662    -155.5827818  Hawaii
 49.817492     15.472962     Czech Republic
 43.7844397    -88.7878678   Wisconsin
 56.469111     84.967192     Tomsk
 19.4326077    -99.133208    Mexico City
 55.749646     37.62368      Moscow
 27.6648274    -81.5157535   Florida
 23.634501     -102.552784   Mexico
 42.3584308    -71.0597732   Boston
 43.136517     131.911079    Vladivostok
 -15.9224663   -50.1379024   Goias
 -11.4098737   -48.7191423   Tocantins
 -23.5489433   -46.6388182   Sao Paulo
 -20.7722295   -54.7851531   Mato Grosso do Sul
 51.253775     -85.3232139   Ontario
 33.836081     -81.1637245   South Carolina
