谷歌地图纬度   谷歌地图经度     城市
 12.083802      107.7850886    TayNguyen
 62.8833333     18.25          LangSon
 14.058324      108.277199     HoaBinh(Viet Nam HoaBinh)：查不见和平市HoaBinh的经纬度，Viet Nam的经纬度
 21.0333333     105.85         HaNoi
 51.0109892     10.845346      Thueringen
 31.2448234     -92.1450245    Louisiana
 25.354826      51.183884      Qatar
 35.1495343     -90.0489801    Memphis
 23.634501      -102.552784    Mexico
 32.3546679     -89.3985283    Mississippi
 37.9642529     -91.8318334    Missouri
 56.29274       43.926745      Nizhniy Novgorod
 35.5174913     -86.5804473    Tennessee
 53.250585      45.016555      Penza
 44.3148443     -85.6023643    Michigan
 36.6424341     127.4890319    Cheongju
 16.463461      107.584702     Hue
 16.051571      108.214897     DaNang
 41.20438       74.766098      Kyrgyzstan
 47.5514926     -101.0020119   North Dakota
 41.4925374     -99.9018131    Nebraska
 12.2387911     109.1967488    KhanhHoa
 46.729553      -94.6858998    Minnesota
 37.8393332     -84.2700179    Kentucky
 61.92411       25.748151      Finland
 22.548175      114.131644     Guangdong-Luohu
 30.585164      36.238414      Jordan
 43.9695148     -99.9018131    South Dakota
 29.31166       47.481766      Kuwait
 40.0583238     -74.4056612    New Jersey
 35.907757      127.766922     South Korea
 37.4315734     -78.6568942    Virginia
 42.4072107     -71.3824374    Massachusetts
 39.0457549     -76.6412712    Maryland
 38.9108325     -75.5276699    Delware
 35.20105       -91.8318334    Arkansas
 33.223191      43.679291      Iraq
 43.0759678     -107.2902839   Wyoming
 43.7844397     -88.7878678    Wisconsin
 52.60148       39.584089      Lipezk
 34.5199402     -105.8700901   New Mexico
 44.5588028     -72.5778415    Vermont
 43.1938516     -71.5723953    New Hampshire
 64.2008413     -149.4936733   Alaska
 34.0489281     -111.0937311   Arizona
 46.8796822     -110.3625658   Montana
 12.879721      121.774017     Philippines
 44.0682019     -114.7420408   Idaho
 7.946527       -1.023194      Ghana
 38.8026097     -116.419389    Nevada
 35.907757      127.766922     Korea
 19.8967662     -155.5827818   Hawaii
 11.825138      42.590275      Djibouti
 27.6648274     -81.5157535    Florida
 43.8041334     -120.5542012   Oregon
 35.7595731     -79.0192997    North Carolina
 39.011902      -98.4842465    Kansas
 14.6927778     -17.4466667    Dakar
 -25.274398     133.775136     Australia
 4.210484       101.975766     Malaysia
 22.396428      114.109497     Hong Kong
 36.067082      120.38264      Qingdao
 12.565679      104.990963     Cambodia
 26.820553      30.802498      Egypt
 -31.9530044    115.8574693    Perth
 -27.4709331    153.0235024    Brisbane
 41.5800945     -71.4774291    Rhode Island
 15.870032      100.992541     Thailand
 32.933052      35.082678      Acre
 40.7143528     -74.0059731    New York
 18.5           -69.9833333    Santo Domingo
 -0.023559      37.906193      Kenya
 37.9161924     139.0364126    Niigata
 13.706881      -89.20181      San Salvador
 32.060255      118.796877     Nanjing
 -33.8674869    151.2069902    Sydney
 44.8205556     20.4622222     Belgrade
 38.8951118     -77.0363658    District of Columbia
 4.5980556      -74.0758333    Bogota
 23.353299      116.681838     Shantou
 32.3182314     -86.902298     Alabama
 19.4326077     -99.133208     Mexico City
 -37.4713077    144.7851531    Victoria
 52.132633      5.291266       Netherlands
 -15.9224663    -50.1379024    Goias
 56.26392       9.501785       Denmark
 40.6331249     -89.3985283    Illinois
 -11.5057341    -63.580611     Rondonia
 -12.6818712    -56.921099     Mato Grosso
 31.9685988     -99.9018131    Texas
 33.836081      -81.1637245    South Carolina
 12.1363889     -86.2513889    Managua
 51.253775      -85.3232139    Ontario
 -8.3229488     -43.1747162    Piaui
 52.3555177     -1.1743197     England
 23.132191      113.266531     Guangdong
 -15.826691     -47.9218204    Distrito Federal
 41.2033216     -77.1945247    Pennsylvania
 45.253783      -69.4454689    Maine
 -11.4098737    -48.7191423    Tocantins
 40.2671941     -86.1349019    Indiana
 41.8780025     -93.097702     Iowa
 38.5976262     -80.4549026    West Virginia
 46.333818      48.021857      Astrakhan
 1.352083       103.819836     Singapore
 43.136517      131.911079     Vladivostok
 57.163286      65.538567      Tyumen
 55.749646      37.62368       Moscow
 61.788863      34.359724      Petrozavodsk
 59.90802       30.409998      Saint-Petersburg/ssSaint Petersburg
 56.010221      92.871949      Krasnoyarsk
 54.711609      20.46453       Kaliningrad
 55.018804      82.933949      Novosibirsk
 56.839196      60.62595       Ekaterinburg
 38.8951118     -77.0363658    Washington
 40.4172871     -82.907123     Ohio
 36.778261      -119.4179324   California
 39.3209801     -111.0937311   Utah
 39.5500507     -105.7820674   Colorado
 41.709981      44.792998      Tbilisi
 42.3584308     -71.0597732    Boston
 49.817492      15.472962      Czech Republic
 -23.5489433    -46.6388182    Sao Paulo
 13.444304      144.793731     Guam
 32.1574351     -82.907123     Georgia
 35.0077519     -97.092877     Oklahoma
 36.204824      138.252924     Japan

